"household.id","region","population.size","income.class","family.size","age.respondent","food","housing","healthcare","transportation"
2227674,"Midwest","4 million+","$20K-$29,999",1,81,715,1170,700.2,0
2227914,"Northeast","4 million+","$70K+",3,41,2856,6457,2253,1761
2228025,"South","125-329 thousand","$50K-$69,999",4,36,1365,2165,750,1736
2228115,"Northeast","4 million+","$70K+",4,45,3200,5343,690,3026
2228274,"West","125-329 thousand","$15K-$19,999",3,50,715,2752,798.4,568
2228385,"West","4 million+","$5K-$9,999",2,68,1148,396.75,0,0
2228494,"Midwest","125-329 thousand","$15K-$19,999",1,34,1241,1170,0,0
2228735,"South","125-329 thousand","$40K-$49,999",2,22,1950,2607,54,1312
2228775,"Northeast","4 million+","$50K-$69,999",1,75,845,952,289.2,0
2228915,"Northeast","4 million+","$20K-$29,999",3,42,1560,2275,678.4,1188
2229075,"Northeast","4 million+","$30K-$39,999",5,70,2207,2564,0,900
2229094,"South","4 million+","$5K-$9,999",1,50,1040,1974,490,330
2229365,"Midwest","less than 125 thousand","$40K-$49,999",2,59,1066,2748,1155,1057
2229544,"Midwest","4 million+","$50K-$69,999",5,40,910,2340,0,0
2229545,"Midwest","4 million+","$70K+",5,40,2467,2945,0,475
2229724,"South","less than 125 thousand","$10K-$14,999",3,25,1196,1084,0,304
2229925,"Northeast","1.2-4 million","$70K+",4,35,3404,3142.5,1245,2901
2229934,"South","less than 125 thousand","$50K-$69,999",7,29,2860,1908,0,1020
2230255,"West","4 million+","$70K+",2,33,845,4290,100,1750
2230365,"Midwest","4 million+","$70K+",2,30,2710,5787,410,2821
2230435,"Northeast","1.2-4 million","$10K-$14,999",1,72,1040,1074,546.2,752
2230675,"Midwest","125-329 thousand","$20K-$29,999",2,73,1625,3255,1080.4,943
2230825,"South",".33-1.19 million","$20K-$29,999",1,71,806,2422,348.2,628
2230925,"Northeast","125-329 thousand","$70K+",2,51,879,3639,1096,2374
2230994,"Northeast","4 million+","$50K-$69,999",2,70,1820,2793,3215.2,20632
2231164,"South","4 million+","$30K-$39,999",4,33,1950,2694,300,600
2231365,"South","125-329 thousand","$70K+",2,35,1300,9566,130,1378
2231455,"Northeast","4 million+","$40K-$49,999",2,37,2210,2473,30,0
2231545,"South","1.2-4 million","$70K+",4,47,1820,2987,0,902
2231734,"Midwest","1.2-4 million","$50K-$69,999",2,68,3114,3367,5056.4,2533
2231825,"South","4 million+","$70K+",3,52,2629,15363,1650,378
2232094,"Midwest","1.2-4 million","$15K-$19,999",1,87,364,5268,900.2,361
2232294,"Northeast","4 million+","$70K+",6,48,4420,5892,1325,3750
2232365,"Midwest","4 million+","$70K+",3,50,4217,10575,750,1577
2232514,"Midwest","less than 125 thousand","$70K+",2,30,2525,3483.75,90,1350
2232575,"Midwest","1.2-4 million","$50K-$69,999",1,33,2925,6173,390,838
2232714,"Midwest","1.2-4 million","$40K-$49,999",4,43,2925,3088.5,375,1304
2232915,"Northeast","4 million+","$15K-$19,999",1,73,1170,2561.75,727.2,0
2233194,"South","1.2-4 million","$50K-$69,999",1,67,416,3278,1210.2,441
2233195,"South","1.2-4 million","$70K+",1,67,1031,6275,1180.2,820
2233435,"Midwest","4 million+","$20K-$29,999",4,46,1582,6279,0,1061
2233575,"Midwest","less than 125 thousand","$70K+",2,69,455,3053,1598.4,1100
2233655,"Midwest","1.2-4 million","$20K-$29,999",1,87,715,1290,1112.2,135
2233844,"Northeast","4 million+","$30K-$39,999",3,44,1433,4456,1054,410
2234045,NA,NA,"$40K-$49,999",1,41,1105,2691,904,1006
